x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.7645385,0.8300079,-0.23427248,0.9186113,-0.21910357,0.20179069,-0.48685503,0.58728266,0.8815429,-0.73362815,1
0.8691962,0.1871593,0.7388089,0.13543057,0.4821881,-0.141191,0.7708858,0.14780891,-0.4668399,0.2548983,1
-0.46073663,-0.117272854,-0.40615833,0.66337097,-0.7893702,-0.46101034,-0.28237474,-0.60127246,0.09438312,-0.9876791,0
0.9031091,-0.84946823,0.7720274,0.16641915,-0.32470453,0.61794996,0.15585077,0.8079634,0.10931969,-0.31537318,2
0.26868367,-0.27117944,0.42085755,0.89282215,0.57805955,-0.43717253,0.57726467,0.17892623,0.50783503,-0.60950506,0
-0.98990846,-0.38636053,-0.76702285,0.8205389,0.28803134,0.41421354,0.31626117,-0.017395973,0.7826083,-0.7105136,0
0.062963724,-0.6825402,0.308352,-0.3443823,0.30641627,-0.20834148,0.82939184,-0.5927019,-0.596398,-0.596434,0
0.8994428,0.33325112,0.9622507,-0.82527626,-0.9918761,-0.7823638,-0.6726891,0.40504014,0.35807586,0.8309244,3
-0.5164254,-0.6817118,0.53057814,-0.4042045,0.6069238,-0.23730063,0.5720459,-0.776968,-0.50464976,0.30487645,3
0.21140754,-0.25495875,0.59606946,0.6798092,-0.72517335,-0.5338682,0.91566193,-0.3374325,-0.3545164,-0.9675946,1
-0.5726702,0.24980366,-0.13199317,-0.725886,0.023456693,-0.6830815,-0.84839666,-0.55066264,-0.8752121,-0.63673806,0
0.9996089,0.18887496,0.3081597,-0.9326843,-0.6567738,-0.33285582,0.15637112,-0.8799213,-0.43087304,-0.5986686,0
0.0027712584,-0.3721032,-0.069295764,-0.6776297,-0.68639517,-0.5834018,-0.34229743,-0.7892809,0.83846986,-0.19846404,0
0.86039674,0.3115821,-0.846797,0.6920352,-0.27514482,-0.38332605,-0.8300705,-0.99416065,0.28611064,-0.21844387,1
0.38932312,-0.82066345,0.74242914,-0.73405373,-0.17267334,0.2088697,0.5162518,0.80731034,0.91095924,-0.79292214,4
